SMILES	Solvent	Reactivity Parameters	SMARTS
[S-]C#N	MeCN	N Parameter: 17.94 s N Parameter: 0.60	[CX4,c][SX1-].[CX4,c][SeX1-].[NX3,OX2][CX3](=[SX1])[SX2-].[CX4][SX2][CX4].[CX4][SeX2][CX4].[SX1-]C#N.c[SX3](=O)[O-]
C1(=CC=CC=C1)[S-]	DMSO	N Parameter: 23.36 s N Parameter: 0.74	[CX4,c][SX1-].[CX4,c][SeX1-].[NX3,OX2][CX3](=[SX1])[SX2-].[CX4][SX2][CX4].[CX4][SeX2][CX4].[SX1-]C#N.c[SX3](=O)[O-]
C(C1=CC=CC=C1)[C@H]1C(N([C@@H](N1)C=1OC(=CC1)C)C)=O	MeCN	N Parameter: 7.39 s N Parameter: 1.00	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
C(C1=CC=CC=C1)[C@H]1C(N([C@H](N1)C(C)(C)C)C)=O	MeCN	N Parameter: 5.44 s N Parameter: 1.12	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
C(C1=CC=CC=C1)[C@H]1C(N([C@H](N1)C=1OC(=CC1)C)C)=O	MeCN	N Parameter: 8.76 s N Parameter: 0.89	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
C(C)(C)[C@@H]1NCCC1	MeCN	N Parameter: 16.44 s N Parameter: 0.71	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
FC(C=1C=C(C=C(C1)C(F)(F)F)NC(=S)NC[C@H]1NCCC1)(F)F	MeCN	N Parameter: 14.97 s N Parameter: 0.69	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
FC(C=1C=C(C=C(C1)C(F)(F)F)NC(=O)NC[C@H]1NCCC1)(F)F	MeCN	N Parameter: 17.50 s N Parameter: 0.64	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
N1[C@@H](CCC1)CN1C=NC=C1	MeCN	N Parameter: 15.55 s N Parameter: 0.69	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
N1[C@@H](CCC1)CN1CCCC1	MeCN	N Parameter: 18.33 s N Parameter: 0.64	[CX4][NX3H][CX4!H0]
N(=[N+]=[N-])C([C@H]1NCCC1)(C1=CC=CC=C1)C1=CC=CC=C1	MeCN	N Parameter: 9.90 s N Parameter: 1.22	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
N(=[N+]=[N-])C[C@H]1NCCC1	MeCN	N Parameter: 15.43 s N Parameter: 0.73	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
C1(=CC=CC=C1)C([C@H]1NCCC1)(O[Si](C)(C)C)C1=CC=CC=C1	MeCN	N Parameter: 12.03 s N Parameter: 0.98	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
COC[C@H]1NCCC1	MeCN	N Parameter: 16.50 s N Parameter: 0.71	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
N1[C@@H](CCC1)CN1C(C2=CC=CC=C2C1=O)=O	MeCN	N Parameter: 15.90 s N Parameter: 0.77	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
C(C1=CC=CC=C1)(C1=CC=CC=C1)[C@H]1NCCC1	MeCN	N Parameter: 16.61 s N Parameter: 0.67	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
FC(S(=O)(=O)[O-])(F)F.C(CCC)[N+]1=CN(C=C1)C[C@H]1NCCC1	MeCN	N Parameter: 13.57 s N Parameter: 0.53	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
C1(=CC=CC=C1)C=1N=NN(C1)C[C@H]1NCCC1	MeCN	N Parameter: 15.32 s N Parameter: 0.72	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
C(C1=CC=CC=C1)[C@H]1C(N(C(N1)(C)C)C)=O	MeCN	N Parameter: 6.04 s N Parameter: 0.92	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
C1(=CC=CC=C1)C(O)([C@H]1NCCC1)C1=CC=CC=C1	MeCN	N Parameter: 16.18 s N Parameter: 0.56	[CX4][NX3H][CX4!H0]
CN(C[C@H]1NCCC1)C	MeCN	N Parameter: 17.41 s N Parameter: 0.68	[CX4][NX3H][CX4!H0]
CN(C(=O)[C@H]1NCCC1)C	MeCN	N Parameter: 17.61 s N Parameter: 0.67	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
C(CC)NC(=O)[C@H]1NCCC1	MeCN	N Parameter: 15.20 s N Parameter: 0.73	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
N1[C@@H](CCC1)CN	MeCN	N Parameter: 17.24 s N Parameter: 0.67	[CX4][NX3H][CX4!H0]
N1[C@@H](CCC1)CO	MeCN	N Parameter: 16.74 s N Parameter: 0.67	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
NCCCN	water	N Parameter: 14.02 s N Parameter: 0.54	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
NCC(C)O	DMSO	N Parameter: 15.47 s N Parameter: 0.65	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
CN1C(CCC1)C1=CC=CC=C1	dichloromethane	N Parameter: 16.80 s N Parameter: 0.49	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
CN1C(CCC1)C1=CC=CC=C1	MeCN	N Parameter: 15.70 s N Parameter: 0.54	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
FC(CN)(F)F	MeOH-MeCN mix	N Parameter: 10.20 s N Parameter: 0.92	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
FC(CN)(F)F	DMSO	N Parameter: 12.15 s N Parameter: 0.65	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
FC(CN)(F)F	MeCN	N Parameter: 10.13 s N Parameter: 0.75	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
CC1(NCCC1)C	MeCN	N Parameter: 13.96 s N Parameter: 0.76	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
FC(C1NCCC1)(F)F	MeCN	N Parameter: 11.34 s N Parameter: 0.73	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
C1(=CC=CC=C1)[Si](C1NCCC1)(C1=CC=CC=C1)C1=CC=CC=C1	MeCN	N Parameter: 14.00 s N Parameter: 0.84	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
NC(CO)CC	DMSO	N Parameter: 14.39 s N Parameter: 0.67	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
C(C1=CC=CC=C1)C1NCCC1	MeCN	N Parameter: 17.43 s N Parameter: 0.66	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
CC1NCCC1	MeCN	N Parameter: 16.78 s N Parameter: 0.71	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
C1(=CC=CC=C1)CCN	water	N Parameter: 13.40 s N Parameter: 0.57	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
C(C1=CC=CC=C1)(C1=CC=CC=C1)(C1=CC=CC=C1)C1NCCC1	MeCN	N Parameter: 9.16 s N Parameter: 1.39	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
C(C=C)N	MeCN	N Parameter: 14.37 s N Parameter: 0.66	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
C(C=C)N	water	N Parameter: 13.21 s N Parameter: 0.54	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
N	MeCN	N Parameter: 11.39 s N Parameter: 0.69	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
N	water	N Parameter: 9.48 s N Parameter: 0.59	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
C(C1=CC=CC=C1)N	MeOH-MeCN mix	N Parameter: 13.46 s N Parameter: 0.62	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
C(C1=CC=CC=C1)N	DMSO	N Parameter: 15.28 s N Parameter: 0.65	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
C(C1=CC=CC=C1)N	MeCN	N Parameter: 14.29 s N Parameter: 0.67	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
C(C1=CC=CC=C1)N	water	N Parameter: 13.44 s N Parameter: 0.55	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
C1CN2CCN1CC2	MeCN	N Parameter: 18.80 s N Parameter: 0.70	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
COCCNCCOC	MeCN	N Parameter: 13.24 s N Parameter: 0.93	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
N(CCO)CCO	MeOH-MeCN mix	N Parameter: 13.71 s N Parameter: 0.67	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
N(CCO)CCO	DMSO	N Parameter: 15.51 s N Parameter: 0.70	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
N(CCO)CCO	water	N Parameter: 13.00 s N Parameter: 0.61	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
C(C)NCC	MeCN	N Parameter: 15.10 s N Parameter: 0.73	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
C(C)NCC	water	N Parameter: 14.68 s N Parameter: 0.53	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
CNC	MeCN	N Parameter: 17.96 s N Parameter: 0.63	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
CNC	water	N Parameter: 17.12 s N Parameter: 0.50	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
C(CC)NCCC	MeCN	N Parameter: 14.51 s N Parameter: 0.80	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
C(O)CN	MeOH-MeCN mix	N Parameter: 13.23 s N Parameter: 0.65	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
C(O)CN	DMSO	N Parameter: 16.07 s N Parameter: 0.61	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
C(O)CN	MeCN	N Parameter: 14.11 s N Parameter: 0.71	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
C(O)CN	water	N Parameter: 12.61 s N Parameter: 0.58	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
NCC(=O)OCC	DMSO	N Parameter: 14.30 s N Parameter: 0.67	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
C(C)N	water	N Parameter: 12.87 s N Parameter: 0.58	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
C(CN)N	water	N Parameter: 13.28 s N Parameter: 0.58	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
NCC(=O)N	water	N Parameter: 12.29 s N Parameter: 0.58	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
NCC#N	water	N Parameter: 10.80 s N Parameter: 0.61	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
C(C)(C)N	MeCN	N Parameter: 13.77 s N Parameter: 0.70	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
C(C)(C)N	water	N Parameter: 12.00 s N Parameter: 0.56	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
NCC(=O)OC	water	N Parameter: 12.08 s N Parameter: 0.60	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
N1[C@@H](CCC1)C(=O)OC	MeCN	N Parameter: 14.75 s N Parameter: 0.82	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
CN	MeCN	N Parameter: 15.19 s N Parameter: 0.68	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
CN	water	N Parameter: 13.85 s N Parameter: 0.53	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
N1CCOCC1	MeOH-MeCN mix	N Parameter: 15.40 s N Parameter: 0.64	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
N1CCOCC1	DMSO	N Parameter: 16.96 s N Parameter: 0.67	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
N1CCOCC1	MeCN	N Parameter: 15.65 s N Parameter: 0.74	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
N1CCOCC1	water	N Parameter: 15.62 s N Parameter: 0.54	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
C(CCC)N	MeCN	N Parameter: 15.27 s N Parameter: 0.63	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
CNCC#N	water	N Parameter: 13.50 s N Parameter: 0.59	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
CN1CCOCC1	dichloromethane	N Parameter: 16.50 s N Parameter: 0.52	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
CN1CCOCC1	MeCN	N Parameter: 16.80 s N Parameter: 0.52	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
CN1CCCCC1	dichloromethane	N Parameter: 18.90 s N Parameter: 0.52	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
CN1CCCCC1	MeCN	N Parameter: 18.72 s N Parameter: 0.52	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
CN1CCCC1	dichloromethane	N Parameter: 20.60 s N Parameter: 0.52	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
CN1CCCC1	MeCN	N Parameter: 20.59 s N Parameter: 0.52	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
C(CC)N	MeOH-MeCN mix	N Parameter: 13.41 s N Parameter: 0.66	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
C(CC)N	DMSO	N Parameter: 15.70 s N Parameter: 0.64	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
C(CC)N	MeCN	N Parameter: 15.11 s N Parameter: 0.63	[CX4][NX3H2].[CX4][NX3H][CX4!H0].[CX4H2,CX4H3][NX3]([CX4])[CX4H2,CX4H3].[NX3H3]
